,YYYYMMSOON,가락시장 품목코드(5자리),품목(품종)명,거래단위,등급(특 5% 상 35% 중 40% 하 20%),평균가격(원),전순 평균가격(원) PreVious SOON,전달 평균가격(원) PreVious MMonth,전년 평균가격(원) PreVious YeaR,평년 평균가격(원) Common Year SOON
81,201904상순,21100,배추,10키로망대,상,2466.11111111111,2483.11111111111,2480.375,7503.375,6073.61574074074
82,201904중순,21100,배추,10키로망대,상,2680.55555555555,2466.11111111111,2494.77777777777,7082.22222222222,5890.25925925926
83,201904하순,21100,배추,10키로망대,상,2643.375,2680.55555555555,2483.11111111111,6637.25,6329.29629629629
84,201905상순,21100,배추,10키로망대,상,2894.22222222222,2643.375,2466.11111111111,5589.44444444444,5567.04629629629
85,201905중순,21100,배추,10키로망대,상,3419.875,2894.22222222222,2680.55555555555,4656.75,6253.99074074074
86,201905하순,21100,배추,10키로망대,상,3744.2,3419.875,2643.375,3770.7,5155.97407407407
87,201906상순,21100,배추,10키로망대,상,4879.5,3744.2,2894.22222222222,3345.125,4184.0787037037
88,201906중순,21100,배추,10키로망대,상,5758.33333333333,4879.5,3419.875,4073.44444444444,4236.93518518518
89,201906하순,21100,배추,10키로망대,상,6127.625,5758.33333333333,3744.2,4684.0,4949.50462962963
90,201907상순,21100,배추,10키로망대,상,5524.44444444444,6127.625,4879.5,5479.25,5481.99537037037
91,201907중순,21100,배추,10키로망대,상,6093.66666666666,5524.44444444444,5758.33333333333,7957.0,6928.29629629629
92,201907하순,21100,배추,10키로망대,상,5911.77777777777,6093.66666666666,6127.625,11236.3333333333,8605.15555555555
93,201908상순,21100,배추,10키로망대,상,6699.875,5911.77777777777,5524.44444444444,10779.125,9211.15476190476
94,201908중순,21100,배추,10키로망대,상,6596.75,6699.875,6093.66666666666,16234.625,11988.824074074
95,201908하순,21100,배추,10키로망대,상,7692.5,6596.75,5911.77777777777,17582.9,13152.6629629629
96,201909상순,21100,배추,10키로망대,상,11855.25,7692.5,6699.875,10922.25,11664.1666666666
97,201909중순,21100,배추,10키로망대,상,13132.2857142857,11855.25,6596.75,9809.88888888888,10117.9259259259
98,201909하순,21100,배추,10키로망대,상,18167.625,13132.2857142857,7692.5,7212.4,8715.94814814814
99,201910상순,21100,배추,10키로망대,상,16388.2222222222,18167.625,11855.25,6274.66666666666,7458.36574074074
100,201910중순,21100,배추,10키로망대,상,13267.875,16388.2222222222,13132.2857142857,5449.11111111111,4491.81018518518
101,201910하순,21100,배추,10키로망대,상,9547.2,13267.875,18167.625,5499.88888888888,4098.91481481481
102,201911상순,21100,배추,10키로망대,상,8370.125,9547.2,16388.2222222222,5468.77777777777,4455.65277777777
103,201911중순,21100,배추,10키로망대,상,9176.33333333333,8370.125,13267.875,4930.875,4860.09722222222
104,201911하순,21100,배추,10키로망대,상,9162.55555555555,9176.33333333333,9547.2,4795.0,5265.54166666666
105,201912상순,21100,배추,10키로망대,상,8697.375,9162.55555555555,8370.125,4314.5,4390.13425925926
106,201912중순,21100,배추,10키로망대,상,8600.0,8697.375,9176.33333333333,3552.77777777777,4178.20833333333
107,201912하순,21100,배추,10키로망대,상,8820.33333333333,8600.0,9162.55555555555,3268.11111111111,4205.38148148148
108,202001상순,21100,배추,10키로망대,상,9272.71428571428,8820.33333333333,8697.375,2927.0,4321.45238095238
109,202001중순,21100,배추,10키로망대,상,8701.625,9272.71428571428,8600.0,2823.0,4363.74537037036
110,202001하순,21100,배추,10키로망대,상,8522.0,8701.625,8820.33333333333,2783.4,5546.91851851851
111,202002상순,21100,배추,10키로망대,상,8880.875,8522.0,9272.71428571428,3234.8,6176.86574074074
112,202002중순,21100,배추,10키로망대,상,9089.11111111111,8880.875,8701.625,2775.11111111111,6433.78571428571
113,202002하순,21100,배추,10키로망대,상,9076.5,9089.11111111111,8522.0,2484.14285714285,6945.98412698412
114,202003상순,21100,배추,10키로망대,상,8656.625,9076.5,8880.875,2480.375,7111.61574074074
115,202003중순,21100,배추,10키로망대,상,8288.0,8656.625,9089.11111111111,2494.77777777777,6897.11111111111
116,202003하순,21100,배추,10키로망대,상,8157.0,8288.0,9076.5,2483.11111111111,6548.48148148148
117,202004상순,21100,배추,10키로망대,상,7590.0,8157.0,8656.625,2466.11111111111,6073.61574074074
118,202004중순,21100,배추,10키로망대,상,8503.5,7590.0,8288.0,2680.55555555555,5890.25925925926
119,202004하순,21100,배추,10키로망대,상,11245.0,8503.5,8157.0,2643.375,6329.29629629629
120,202005상순,21100,배추,10키로망대,상,10653.75,11245.0,7590.0,2894.22222222222,5567.04629629629
121,202005중순,21100,배추,10키로망대,상,9588.77777777777,10653.75,8503.5,3419.875,6276.31944444444
122,202005하순,21100,배추,10키로망대,상,9949.77777777777,9588.77777777777,11245.0,3744.2,5306.55925925925
123,202006상순,21100,배추,10키로망대,상,7173.11111111111,9949.77777777777,10653.75,4879.5,4695.53703703703
124,202006중순,21100,배추,10키로망대,상,7488.33333333333,7173.11111111111,9588.77777777777,5758.33333333333,4909.34259259259
125,202006하순,21100,배추,10키로망대,상,7608.125,7488.33333333333,9949.77777777777,6127.625,5390.17129629629
126,202007상순,21100,배추,10키로망대,상,7897.44444444444,7608.125,7173.11111111111,5524.44444444444,5678.10648148148
127,202007중순,21100,배추,10키로망대,상,11235.625,7897.44444444444,7488.33333333333,6093.66666666666,6954.51851851851
128,202007하순,21100,배추,10키로망대,상,12039.8,11235.625,7608.125,5911.77777777777,8309.14814814814
129,202008상순,21100,배추,10키로망대,상,12338.7142857142,12039.8,7897.44444444444,6699.875,9260.875
130,202008중순,21100,배추,10키로망대,상,17104.3333333333,12338.7142857142,11235.625,6596.75,11988.824074074
131,202008하순,21100,배추,10키로망대,상,18618.4444444444,17104.3333333333,12039.8,7692.5,13449.5333333333
132,202009상순,21100,배추,10키로망대,상,19789.6666666666,18618.4444444444,12338.7142857142,11855.25,13041.9166666666
133,202009중순,21100,배추,10키로망대,상,25820.875,19789.6666666666,17104.3333333333,13132.2857142857,12442.2433862433
134,202009하순,21100,배추,10키로망대,상,24373.4444444444,25820.875,18618.4444444444,18167.625,12756.1564814814
135,202010상순,21100,배추,10키로망대,상,16984.5,24373.4444444444,19789.6666666666,16388.2222222222,10676.3138888888
136,202010중순,21100,배추,10키로망대,상,8203.625,16984.5,25820.875,13267.875,5846.66666666666
137,202010하순,21100,배추,10키로망대,상,6000.2,8203.625,24373.4444444444,9547.2,4952.66666666666
138,202011상순,21100,배추,10키로망대,상,5757.25,6000.2,16984.5,8370.125,5347.74074074074
139,202011중순,21100,배추,10키로망대,상,6674.33333333333,5757.25,8203.625,9176.33333333333,6397.31944444444
140,202011하순,21100,배추,10키로망대,상,5541.625,6674.33333333333,6000.2,9162.55555555555,6510.35648148148
141,202012상순,21100,배추,10키로망대,상,4002.22222222222,5541.625,5757.25,8697.375,5969.17129629629
142,202012중순,21100,배추,10키로망대,상,3782.125,4002.22222222222,6674.33333333333,8600.0,5902.0
143,202012하순,21100,배추,10키로망대,상,3372.8,3782.125,5541.625,8820.33333333333,6056.12222222222
144,202101상순,21100,배추,10키로망대,상,3315.16666666666,3372.8,4002.22222222222,9272.71428571428,6416.92857142857
145,202101중순,21100,배추,10키로망대,상,4904.55555555555,3315.16666666666,3782.125,8701.625,6306.5787037037
146,202101하순,21100,배추,10키로망대,상,5641.33333333333,4904.55555555555,3372.8,8522.0,7278.9074074074
147,202102상순,21100,배추,10키로망대,상,6297.33333333333,5641.33333333333,3315.16666666666,8880.875,8057.5324074074
148,202102중순,21100,배추,10키로망대,상,8420.57142857143,6297.33333333333,4904.55555555555,9089.11111111111,8174.87037037037
149,202102하순,21100,배추,10키로망대,상,8894.33333333333,8420.57142857143,5641.33333333333,9076.5,8573.7619047619
150,202103상순,21100,배추,10키로망대,상,9310.88888888888,8894.33333333333,6297.33333333333,8656.625,8488.61574074074
151,202103중순,21100,배추,10키로망대,상,9345.33333333333,9310.88888888888,8420.57142857143,8288.0,8058.33333333333
152,202103하순,21100,배추,10키로망대,상,9392.55555555555,9345.33333333333,8894.33333333333,8157.0,7643.66666666666
153,202104상순,21100,배추,10키로망대,상,9566.33333333333,9392.55555555555,9310.88888888888,7590.0,7111.54166666666
154,202104중순,21100,배추,10키로망대,상,9217.75,9566.33333333333,9345.33333333333,8503.5,7079.75925925926
155,202104하순,21100,배추,10키로망대,상,8996.77777777777,9217.75,9392.55555555555,11245.0,8231.66666666666
156,202105상순,21100,배추,10키로망대,상,6507.125,8996.77777777777,9566.33333333333,10653.75,6861.21296296296
157,202105중순,21100,배추,10키로망대,상,4590.88888888888,6507.125,9217.75,9588.77777777777,5888.46759259259
158,202105하순,21100,배추,10키로망대,상,5712.77777777777,4590.88888888888,8996.77777777777,9949.77777777777,5306.55925925925
159,202106상순,21100,배추,10키로망대,상,6225.66666666666,5712.77777777777,6507.125,7173.11111111111,4695.53703703703
160,202106중순,21100,배추,10키로망대,상,5418.375,6225.66666666666,4590.88888888888,7488.33333333333,4909.34259259259
161,202106하순,21100,배추,10키로망대,상,5138.0,5418.375,5712.77777777777,7608.125,5390.17129629629
162,202107상순,21100,배추,10키로망대,상,4671.66666666666,5138.0,6225.66666666666,7897.44444444444,5678.10648148148
163,202107중순,21100,배추,10키로망대,상,4782.25,4671.66666666666,5418.375,11235.625,7700.96296296296
164,202107하순,21100,배추,10키로망대,상,6819.3,4782.25,5138.0,12039.8,10351.8222222222
165,202108상순,21100,배추,10키로망대,상,10284.2857142857,6819.3,4671.66666666666,12338.7142857142,10942.7083333333
166,202108중순,21100,배추,10키로망대,상,8024.77777777777,10284.2857142857,4782.25,17104.3333333333,15009.0694444444
167,202108하순,21100,배추,10키로망대,상,9006.77777777777,8024.77777777777,6819.3,18618.4444444444,17091.5148148148
168,202109상순,21100,배추,10키로망대,상,11554.3333333333,9006.77777777777,10284.2857142857,19789.6666666666,15997.7222222222
169,202109중순,21100,배추,10키로망대,상,13765.2857142857,11554.3333333333,8024.77777777777,25820.875,15039.6804232804
170,202109하순,21100,배추,10키로망대,상,9141.5,13765.2857142857,9006.77777777777,24373.4444444444,16509.6898148148
171,202110상순,21100,배추,10키로망대,상,6351.25,9141.5,11554.3333333333,16984.5,14047.499074074
172,202110중순,21100,배추,10키로망대,상,4705.66666666666,6351.25,13765.2857142857,8203.625,7183.39351851851
173,202110하순,21100,배추,10키로망대,상,6465.66666666666,4705.66666666666,9141.5,6000.2,5808.54814814814
174,202111상순,21100,배추,10키로망대,상,9495.0,6465.66666666666,6351.25,5757.25,5840.30555555555
175,202111중순,21100,배추,10키로망대,상,10626.8888888888,9495.0,4705.66666666666,6674.33333333333,6978.47222222222
176,202111하순,21100,배추,10키로망대,상,9273.25,10626.8888888888,6465.66666666666,5541.625,6501.68981481481
177,202112상순,21100,배추,10키로망대,상,8281.77777777777,9273.25,9495.0,4002.22222222222,5969.17129629629
178,202112중순,21100,배추,10키로망대,상,7667.375,8281.77777777777,10626.8888888888,3782.125,5978.44907407407
179,202112하순,21100,배추,10키로망대,상,7763.2,7667.375,9273.25,3372.8,5828.82222222222
180,202201상순,21100,배추,10키로망대,상,7795.57142857142,7763.2,8281.77777777777,3315.16666666666,5982.81746031745
181,202201중순,21100,배추,10키로망대,상,7691.55555555555,7795.57142857142,7667.375,4904.55555555555,6308.50462962962
182,202201하순,21100,배추,10키로망대,상,7684.75,7691.55555555555,7763.2,5641.33333333333,6889.42592592592
183,202202상순,21100,배추,10키로망대,상,8355.0,7684.75,7795.57142857142,6297.33333333333,8040.14351851851
184,202202중순,21100,배추,10키로망대,상,8383.75,8355.0,7691.55555555555,8420.57142857143,8252.28306878307
185,202202하순,21100,배추,10키로망대,상,8567.14285714285,8383.75,7684.75,8894.33333333333,8550.53968253968
186,202203상순,21100,배추,10키로망대,상,8614.77777777777,8567.14285714285,8355.0,9310.88888888888,8488.61574074073
187,202203중순,21100,배추,10키로망대,상,9176.25,8614.77777777777,8383.75,9345.33333333333,8058.33333333333
188,202203하순,21100,배추,10키로망대,상,9703.9,9176.25,8567.14285714285,9392.55555555555,7643.66666666666
189,202204상순,21100,배추,10키로망대,상,10315.125,9703.9,8614.77777777777,9566.33333333333,7111.54166666666
190,202204중순,21100,배추,10키로망대,상,10429.4444444444,10315.125,9176.25,9217.75,7079.75925925926
191,202204하순,21100,배추,10키로망대,상,10479.7777777777,10429.4444444444,9703.9,8996.77777777777,7482.25925925926
192,202205상순,21100,배추,10키로망대,상,9817.875,10479.7777777777,10315.125,6507.125,5479.00462962963
193,202205중순,21100,배추,10키로망대,상,8768.22222222222,9817.875,10429.4444444444,4590.88888888888,4222.50462962962
194,202205하순,21100,배추,10키로망대,상,7693.66666666666,8768.22222222222,10479.7777777777,5712.77777777777,4409.22592592592
195,202206상순,21100,배추,10키로망대,상,8901.55555555555,7693.66666666666,9817.875,6225.66666666666,4941.38888888888
196,202206중순,21100,배추,10키로망대,상,8013.0,8901.55555555555,8768.22222222222,5418.375,5083.38425925925
197,202206하순,21100,배추,10키로망대,상,9065.0,8013.0,7693.66666666666,5138.0,5316.54166666666
198,202207상순,21100,배추,10키로망대,상,9905.125,9065.0,8901.55555555555,4671.66666666666,5225.12037037036
199,202207중순,21100,배추,10키로망대,상,14769.1111111111,9905.125,8013.0,4782.25,7461.22222222222
200,202207하순,21100,배추,10키로망대,상,17330.1111111111,14769.1111111111,9065.0,6819.3,10031.8111111111
201,202208상순,21100,배추,10키로망대,상,14042.4444444444,17330.1111111111,9905.125,10284.2857142857,10936.2619047619
202,202208중순,21100,배추,10키로망대,상,13403.1111111111,14042.4444444444,14769.1111111111,8024.77777777777,12989.8842592592
203,202208하순,21100,배추,10키로망대,상,16495.6666666666,13403.1111111111,17330.1111111111,9006.77777777777,13887.6259259259
204,202209상순,21100,배추,10키로망대,상,21026.625,16495.6666666666,14042.4444444444,11554.3333333333,13252.6111111111
205,202209중순,21100,배추,10키로망대,상,27456.1428571428,21026.625,13403.1111111111,13765.2857142857,13760.7089947089
206,202209하순,21100,배추,10키로망대,상,21651.0,27456.1428571428,16495.6666666666,9141.5,13399.1898148148
207,202210상순,21100,배추,10키로망대,상,17092.5,21651.0,21026.625,6351.25,12434.2907407407
208,202210중순,21100,배추,10키로망대,상,9403.77777777777,17092.5,27456.1428571428,4705.66666666666,6119.46759259259
209,202210하순,21100,배추,10키로망대,상,7601.11111111111,9403.77777777777,21651.0,6465.66666666666,5988.58518518518
210,202211상순,21100,배추,10키로망대,상,5895.22222222222,7601.11111111111,17092.5,9495.0,6532.05092592592
211,202211중순,21100,배추,10키로망대,상,5806.25,5895.22222222222,9403.77777777777,10626.8888888888,6978.47222222222
212,202211하순,21100,배추,10키로망대,상,5000.77777777777,5806.25,7601.11111111111,9273.25,6712.72685185185
213,202212상순,21100,배추,10키로망대,상,4451.88888888888,5000.77777777777,5895.22222222222,8281.77777777777,5946.13425925925
214,202212중순,21100,배추,10키로망대,상,4487.875,4451.88888888888,5806.25,7667.375,5667.57407407407
215,202212하순,21100,배추,10키로망대,상,4715.9,4487.875,5000.77777777777,7763.2,5476.44444444444
216,201701상순,24400,양파,1키로,상,1231.28571428571,0.0,0.0,0.0,0.0
217,201701중순,24400,양파,1키로,상,1196.44444444444,0.0,0.0,0.0,0.0
218,201701하순,24400,양파,1키로,상,1282.83333333333,0.0,0.0,0.0,0.0
219,201702상순,24400,양파,1키로,상,1355.11111111111,0.0,0.0,0.0,0.0
220,201702중순,24400,양파,1키로,상,1306.125,0.0,0.0,0.0,0.0
221,201702하순,24400,양파,1키로,상,1352.0,0.0,0.0,0.0,0.0
222,201703상순,24400,양파,1키로,상,1371.44444444444,0.0,0.0,0.0,0.0
223,201703중순,24400,양파,1키로,상,1332.25,0.0,0.0,0.0,0.0
224,201703하순,24400,양파,1키로,상,1617.6,0.0,0.0,0.0,0.0
225,201704상순,24400,양파,1키로,상,1364.75,0.0,0.0,0.0,0.0
226,201704중순,24400,양파,1키로,상,1035.55555555555,0.0,0.0,0.0,0.0
227,201704하순,24400,양파,1키로,상,807.0,0.0,0.0,0.0,0.0
228,201705상순,24400,양파,1키로,상,964.0,0.0,0.0,0.0,0.0
229,201705중순,24400,양파,1키로,상,993.888888888888,0.0,0.0,0.0,0.0
230,201705하순,24400,양파,1키로,상,966.666666666666,0.0,0.0,0.0,0.0
231,201706상순,24400,양파,1키로,상,1090.88888888888,0.0,0.0,0.0,0.0
232,201706중순,24400,양파,1키로,상,1075.5,0.0,0.0,0.0,0.0
233,201706하순,24400,양파,1키로,상,1078.0,0.0,0.0,0.0,0.0
234,201707상순,24400,양파,1키로,상,1148.375,0.0,0.0,0.0,0.0
235,201707중순,24400,양파,1키로,상,1193.33333333333,0.0,0.0,0.0,0.0
236,201707하순,24400,양파,1키로,상,1168.0,0.0,0.0,0.0,0.0
237,201708상순,24400,양파,1키로,상,1268.125,0.0,0.0,0.0,0.0
238,201708중순,24400,양파,1키로,상,1239.5,0.0,0.0,0.0,0.0
239,201708하순,24400,양파,1키로,상,1139.7,0.0,0.0,0.0,0.0
240,201709상순,24400,양파,1키로,상,1206.625,0.0,0.0,0.0,0.0
241,201709중순,24400,양파,1키로,상,1190.66666666666,0.0,0.0,0.0,0.0
242,201709하순,24400,양파,1키로,상,1158.11111111111,0.0,0.0,0.0,0.0
243,201710상순,24400,양파,1키로,상,1263.8,0.0,0.0,0.0,0.0
244,201710중순,24400,양파,1키로,상,1211.88888888888,0.0,0.0,0.0,0.0
245,201710하순,24400,양파,1키로,상,1135.88888888888,0.0,0.0,0.0,0.0
246,201711상순,24400,양파,1키로,상,1214.33333333333,0.0,0.0,0.0,0.0
247,201711중순,24400,양파,1키로,상,1181.75,0.0,0.0,0.0,0.0
248,201711하순,24400,양파,1키로,상,1193.55555555555,0.0,0.0,0.0,0.0
249,201712상순,24400,양파,1키로,상,1159.75,0.0,0.0,0.0,0.0
250,201712중순,24400,양파,1키로,상,1151.0,0.0,0.0,0.0,0.0
251,201712하순,24400,양파,1키로,상,1123.77777777777,0.0,0.0,0.0,0.0
252,201801상순,24400,양파,1키로,상,1144.42857142857,1123.77777777777,1159.75,1231.28571428571,1149.125
253,201801중순,24400,양파,1키로,상,1041.22222222222,1144.42857142857,1151.0,1196.44444444444,1125.01388888888
254,201801하순,24400,양파,1키로,상,1036.44444444444,1041.22222222222,1123.77777777777,1282.83333333333,1180.73333333333
255,201802상순,24400,양파,1키로,상,1045.77777777777,1036.44444444444,1144.42857142857,1355.11111111111,1192.2037037037
256,201802중순,24400,양파,1키로,상,1098.16666666666,1045.77777777777,1041.22222222222,1306.125,1133.85648148148
257,201802하순,24400,양파,1키로,상,922.142857142857,1098.16666666666,1036.44444444444,1352.0,1227.75396825396
258,201803상순,24400,양파,1키로,상,879.0,922.142857142857,1045.77777777777,1371.44444444444,1242.89814814814
259,201803중순,24400,양파,1키로,상,675.125,879.0,1098.16666666666,1332.25,1173.18518518518
260,201803하순,24400,양파,1키로,상,644.0,675.125,922.142857142857,1617.6,1234.45555555555
261,201804상순,24400,양파,1키로,상,647.25,644.0,879.0,1364.75,1276.02777777777
262,201804중순,24400,양파,1키로,상,759.777777777777,647.25,675.125,1035.55555555555,1062.51388888888
263,201804하순,24400,양파,1키로,상,954.375,759.777777777777,644.0,807.0,812.444444444444
264,201805상순,24400,양파,1키로,상,835.888888888888,954.375,647.25,964.0,796.217592592592
265,201805중순,24400,양파,1키로,상,592.5,835.888888888888,759.777777777777,993.888888888888,769.962962962962
